35727,"University of Jammu, Jammu Tawi (Id: U-0195)",Kathua (Id: C-23032),PG Center / Off-Campus Center,Jammu and Kashmir,Kathua
35728,"University of Jammu, Jammu Tawi (Id: U-0195)",Kawa college of Education (Id: C-22878),Affiliated College,Jammu and Kashmir,Jammu
35729,"University of Jammu, Jammu Tawi (Id: U-0195)",Kawa Institute of Management & Technology (Id: C-23017),Affiliated College,Jammu and Kashmir,Jammu
35730,"University of Jammu, Jammu Tawi (Id: U-0195)",KC College of Education (Id: C-30800),Affiliated College,Jammu and Kashmir,Jammu
35731,"University of Jammu, Jammu Tawi (Id: U-0195)",K.C. Gurukul College of Education (Id: C-30789),Affiliated College,Jammu and Kashmir,Jammu
35732,"University of Jammu, Jammu Tawi (Id: U-0195)",K.C Law College (Id: C-22924),Affiliated College,Jammu and Kashmir,Jammu
35733,"University of Jammu, Jammu Tawi (Id: U-0195)",K.C Minerva College of Education (Id: C-22964),Affiliated College,Jammu and Kashmir,Samba
35734,"University of Jammu, Jammu Tawi (Id: U-0195)",K.C.S College of Education (Id: C-23007),Affiliated College,Jammu and Kashmir,Jammu
35735,"University of Jammu, Jammu Tawi (Id: U-0195)",Kishtwar (Id: C-22945),PG Center / Off-Campus Center,Jammu and Kashmir,Kishtwar
35736,"University of Jammu, Jammu Tawi (Id: U-0195)",Lal Bahadur Shastri College (Id: C-23030),Affiliated College,Jammu and Kashmir,Kathua
35737,"University of Jammu, Jammu Tawi (Id: U-0195)",Lal Bahadur Shastri College of Education (Id: C-22943),Affiliated College,Jammu and Kashmir,Kathua
35738,"University of Jammu, Jammu Tawi (Id: U-0195)",Luthra College of Education (Id: C-22914),Affiliated College,Jammu and Kashmir,Jammu
35739,"University of Jammu, Jammu Tawi (Id: U-0195)","MADRE-E-MEHARBAN INSTITUTE OF PHARMACY, CHAK BHALWAL JAMMU (Id: C-48768)",Affiliated College,Jammu and Kashmir,Jammu
35740,"University of Jammu, Jammu Tawi (Id: U-0195)",MBS College of Engg. & Technology (Id: C-22925),Affiliated College,Jammu and Kashmir,Jammu
35741,"University of Jammu, Jammu Tawi (Id: U-0195)",M C Khalsa College of Education (Id: C-22912),Affiliated College,Jammu and Kashmir,Jammu
35742,"University of Jammu, Jammu Tawi (Id: U-0195)",MIER College of Education (Id: C-22980),Affiliated College,Jammu and Kashmir,Jammu
35743,"University of Jammu, Jammu Tawi (Id: U-0195)",Model Institute of Engg. & Technology (Id: C-23000),Affiliated College,Jammu and Kashmir,Jammu
35744,"University of Jammu, Jammu Tawi (Id: U-0195)",Muqaddas Degree College (Id: C-22894),Affiliated College,Jammu and Kashmir,Punch
35745,"University of Jammu, Jammu Tawi (Id: U-0195)",National College of Education (Id: C-22907),Affiliated College,Jammu and Kashmir,Jammu
35746,"University of Jammu, Jammu Tawi (Id: U-0195)",New Age College of Education (Id: C-30793),Affiliated College,Jammu and Kashmir,Kathua
35747,"University of Jammu, Jammu Tawi (Id: U-0195)",New Age Degree College (Id: C-22909),Affiliated College,Jammu and Kashmir,Kathua
35748,"University of Jammu, Jammu Tawi (Id: U-0195)",New Gandhi Memorial college of Education (Id: C-23013),Affiliated College,Jammu and Kashmir,Jammu
35749,"University of Jammu, Jammu Tawi (Id: U-0195)",New Milleninium National College of Education (Id: C-22985),Affiliated College,Jammu and Kashmir,Jammu
35750,"University of Jammu, Jammu Tawi (Id: U-0195)",New Modern College of Education (Id: C-22972),Affiliated College,Jammu and Kashmir,Jammu
35751,"University of Jammu, Jammu Tawi (Id: U-0195)",New Modern Degree College (Id: C-22910),Affiliated College,Jammu and Kashmir,Jammu
35752,"University of Jammu, Jammu Tawi (Id: U-0195)",NITS Degree College (Id: C-22869),Affiliated College,Jammu and Kashmir,Jammu
35753,"University of Jammu, Jammu Tawi (Id: U-0195)",NSM College of Education (Id: C-22947),Affiliated College,Jammu and Kashmir,Jammu
35754,"University of Jammu, Jammu Tawi (Id: U-0195)",Poonch (Id: C-22962),PG Center / Off-Campus Center,Jammu and Kashmir,Punch
35755,"University of Jammu, Jammu Tawi (Id: U-0195)",Poonch College of Education (Id: C-30803),Affiliated College,Jammu and Kashmir,Punch
35756,"University of Jammu, Jammu Tawi (Id: U-0195)","PRITHVI RAJ DEGREE COLLEGE, KATHUA (Id: C-48771)",Affiliated College,Jammu and Kashmir,Kathua
35757,"University of Jammu, Jammu Tawi (Id: U-0195)",Raghunath Sanskrit Mahavidyala (Id: C-23029),Affiliated College,Jammu and Kashmir,Jammu
35758,"University of Jammu, Jammu Tawi (Id: U-0195)",Rajive Gandhi B.Sc Nursing (Id: C-23031),Affiliated College,Jammu and Kashmir,Jammu
